Film,LAND,
0002423,Germany,1
0002592,Germany,1
0002628,Germany,1
0002863,Germany,1
0003015,Germany,1
0003330,Germany,1
0003345,Germany,1
0003502,Germany,1
0003884,Germany,1
0003967,Germany,1
0004009,Germany,1
0004026,Germany,1
0004121,Germany,1
0004200,Germany,1
0004573,Germany,1
0004647,Germany,1
0004648,Germany,1
0004649,Germany,1
0004650,Germany,1
0005366,Germany,1
0005376,Germany,1
0005608,Germany,1
0006011,Germany,1
0006102,Germany,1
0006111,Germany,1
0006132,Germany,1
0006168,Germany,1
0006234,Germany,1
0006331,Germany,1
0006392,Germany,1
0006624,Germany,1
0006701,Germany,1
0006819,Germany,1
0006820,Germany,1
0006912,Germany,1
0007111,Germany,1
0007168,Germany,1
0007240,Germany,1
0007391,Germany,1
0007403,Germany,1
0007534,Germany,1
0007547,Germany,1
0007604,Germany,1
0007605,Germany,1
0007702,Germany,1
0007731,Germany,1
0007884,Germany,1
0007934,Germany,1
0007983,Germany,1
0007996,Germany,1
0008099,Germany,1
0008113,Germany,1
0008114,Germany,1
0008394,Germany,1
0008487,Germany,1
0008556,Germany,1
0008617,Germany,1
0008619,Germany,1
0008721,Germany,1
0008757,Germany,1
0008758,Germany,1
0008759,Germany,1
0008888,Germany,1
0008971,Germany,1
0009011,Germany,1
0009027,Germany,1
0009038,Germany,1
0009122,Germany,1
0009158,Germany,1
0009220,Germany,1
0009238,Germany,1
0009348,Germany,1
0009415,Germany,1
0009433,Germany,1
0009453,Germany,1
0009458,Germany,1
0009483,Germany,1
0009677,Germany,1
0009754,Hungary,1
0009878,Germany,1
0009893,Germany,1
0009916,Germany,1
0009926,Germany,1
0010067,Germany,1
0010145,Germany,1
0010203,Germany,1
0010208,Germany,1
0010248,Germany,1
0010249,Germany,1
0010281,Germany,1
0010282,Germany,1
0010284,Germany,1
0010302,Germany,1
0010309,Germany,1
0010323,Germany,1
0010324,Germany,1
0010330,Germany,1
0010347,Germany,1
0010349,Germany,1
0010453,Germany,1
0010478,Germany,1
0010501,Germany,1
0010502,Germany,1
0010519,Germany,1
0010533,Germany,1
0010559,Germany,1
0010589,Germany,1
0010596,Germany,1
0010600,Germany,1
0010609,Germany,1
0010612,Germany,1
0010622,Germany,1
0010726,Germany,1
0010793,Austria,1
0010814,Germany,1
0010821,Germany,1
0010854,Germany,1
0010908,Germany,1
0010947,Germany,1
0010971,Germany,1
0010986,Germany,1
0011008,Germany,1
0011031,Germany,1
0011066,Germany,1
0011140,Germany,1
0011142,Germany,1
0011155,Germany,1
0011208,Germany,1
0011209,Germany,1
0011217,Germany,1
0011220,Germany,1
0011221,Germany,1
0011222,Germany,1
0011236,Germany,1
0011237,Germany,1
0011264,Germany,1
0011345,Germany,1
0011346,Germany,1
0011348,Germany,1
0011351,Germany,1
0011355,Germany,1
0011369,Germany,1
0011373,Germany,1
0011374,Germany,1
0011375,Germany,1
0011377,Germany,1
0011393,Germany,1
0011394,Germany,1
0011400,Germany,1
0011425,Germany,1
0011436,Germany,1
0011437,Germany,1
0011479,Germany,1
0011487,Austria,1
0011501,Germany,1
0011502,Germany,1
0011504,Germany,1
0011524,Germany,1
0011525,Germany,1
0011559,Germany,1
0011617,Germany,1
0011645,Germany,1
0011654,Germany,1
0011663,Germany,1
0011664,Germany,1
0011676,Germany,1
0011703,Germany,1
0011723,Germany,1
0011728,Germany,1
0011740,Germany,1
0011742,Germany,1
0011819,Germany,1
0011820,Germany,1
0011833,Germany,1
0011837,Germany,1
0011845,Germany,1
0011896,Germany,1
0011928,Germany,1
0012009,Germany,1
0012048,Germany,1
0012092,Germany,1
0012150,Germany,1
0012192,Austria,1
0012193,Germany,1
0012204,Germany,1
0012205,Germany,1
0012206,Germany,1
0012212,Austria,1
0012234,Austria,1
0012249,Germany,1
0012272,Germany,1
0012281,Germany,1
0012309,Germany,1
0012310,Austria,1
0012313,Germany,1
0012314,Germany,1
0012323,Germany,1
0012344,Germany,1
0012365,Austria,1
0012368,Germany,1
0012374,Germany,1
0012384,Germany,1
0012386,Germany,1
0012428,Germany,1
0012430,Germany,1
0012452,Germany,1
0012494,Germany,1
0012495,Germany,1
0012547,Germany,1
0012611,Germany,1
0012622,Germany,1
0012632,Germany,1
0012650,Germany,1
0012651,Germany,1
0012720,Germany,1
0012724,Germany,1
0012771,Germany,1
0012778,Germany,1
0012780,Germany,1
0012806,Germany,1
0012872,Germany,1
0012921,Germany,1
0012973,Germany,1
0012984,Netherlands,1
0012990,Germany,1
0012998,United States,1
0013086,Germany,1
0013087,Austria,1
0013114,Germany,1
0013121,Germany,1
0013140,United States,1
0013152,Germany,1
0013156,Germany,1
0013167,Germany,1
0013169,Germany,1
0013178,Germany,1
0013198,Germany,1
0013199,Germany,1
0013207,Germany,1
0013233,Austria,1
0013242,Germany,1
0013280,Germany,1
0013286,Germany,1
0013309,Germany,1
0013327,Germany,1
0013342,Germany,1
0013344,Germany,1
0013347,Germany,1
0013373,Germany,1
0013385,Germany,1
0013428,Germany,1
0013442,Germany,1
0013492,Germany,1
0013496,Germany,1
0013503,Germany,1
0013518,Germany,1
0013566,Germany,1
0013579,Germany,1
0013600,Germany,1
0013617,Germany,1
0013619,Austria,1
0013652,Germany,1
0013657,Germany,1
0013676,Germany,1
0013677,Germany,1
0013687,Germany,1
0013699,Germany,1
0013700,Austria,1
0013708,Austria,1
0013728,Germany,1
0013731,Austria,1
0013732,Germany,1
0013741,Germany,1
0013816,Germany,1
0013825,Germany,1
0013826,Germany,1
0013829,Germany,1
0013830,Germany,1
0013849,Germany,1
0013901,Germany,1
0014022,Germany,1
0014046,Germany,1
0014047,Germany,1
0014066,Germany,1
0014092,Germany,1
0014102,Germany,1
0014146,Germany,1
0014153,Germany,1
0014171,Austria,1
0014175,Germany,1
0014191,Austria,1
0014197,Germany,1
0014237,Germany,1
0014269,Germany,1
0014270,Germany,1
0014291,Germany,1
0014303,Austria,1
0014346,Germany,1
0014376,Germany,1
0014387,Germany,1
0014397,Germany,1
